date,puissance_w,type_valeur,jour_semaine,pas_temps
2021-06-15 01:00:00,217.0,Mesurée,mardi,60.0
2021-06-15 02:00:00,236.0,Mesurée,mardi,60.0
2021-06-15 03:00:00,740.0,Mesurée,mardi,60.0
2021-06-15 04:00:00,618.0,Mesurée,mardi,60.0
2021-06-15 05:00:00,185.0,Mesurée,mardi,60.0
2021-06-15 06:00:00,218.0,Mesurée,mardi,60.0
2021-06-15 07:00:00,371.0,Mesurée,mardi,60.0
2021-06-15 08:00:00,392.0,Mesurée,mardi,60.0
2021-06-15 09:00:00,288.0,Mesurée,mardi,60.0
2021-06-15 10:00:00,264.0,Mesurée,mardi,60.0
2021-06-15 11:00:00,280.0,Mesurée,mardi,60.0
2021-06-15 12:00:00,218.0,Mesurée,mardi,60.0
2021-06-15 13:00:00,653.0,Mesurée,mardi,60.0
2021-06-15 14:00:00,1310.0,Mesurée,mardi,60.0
2021-06-15 15:00:00,371.0,Mesurée,mardi,60.0
2021-06-15 16:00:00,271.0,Mesurée,mardi,60.0
2021-06-15 17:00:00,310.0,Mesurée,mardi,60.0
2021-06-15 18:00:00,560.0,Mesurée,mardi,60.0
2021-06-15 19:00:00,1500.0,Mesurée,mardi,60.0
2021-06-15 20:00:00,1947.0,Mesurée,mardi,60.0
2021-06-15 21:00:00,761.0,Mesurée,mardi,60.0
2021-06-15 22:00:00,1766.0,Mesurée,mardi,60.0
2021-06-15 23:00:00,388.0,Mesurée,mardi,60.0
2021-06-16 00:00:00,915.0,Mesurée,mercredi,60.0
2021-06-16 01:00:00,198.0,Mesurée,mercredi,60.0
2021-06-16 02:00:00,536.0,Mesurée,mercredi,60.0
2021-06-16 03:00:00,213.0,Mesurée,mercredi,60.0
2021-06-16 04:00:00,215.0,Mesurée,mercredi,60.0
2021-06-16 05:00:00,192.0,Mesurée,mercredi,60.0
2021-06-16 06:00:00,791.0,Mesurée,mercredi,60.0
2021-06-16 07:00:00,252.0,Mesurée,mercredi,60.0
2021-06-16 08:00:00,1089.0,Mesurée,mercredi,60.0
2021-06-16 09:00:00,421.0,Mesurée,mercredi,60.0
2021-06-16 10:00:00,1090.0,Mesurée,mercredi,60.0
2021-06-16 11:00:00,1225.0,Mesurée,mercredi,60.0
2021-06-16 12:00:00,931.0,Mesurée,mercredi,60.0
2021-06-16 13:00:00,4000.0,Mesurée,mercredi,60.0
2021-06-16 14:00:00,897.0,Mesurée,mercredi,60.0
2021-06-16 15:00:00,474.0,Mesurée,mercredi,60.0
2021-06-16 16:00:00,492.0,Mesurée,mercredi,60.0
2021-06-16 17:00:00,299.0,Mesurée,mercredi,60.0
2021-06-16 18:00:00,560.0,Mesurée,mercredi,60.0
2021-06-16 19:00:00,2680.0,Mesurée,mercredi,60.0
2021-06-16 20:00:00,1427.0,Mesurée,mercredi,60.0
2021-06-16 21:00:00,1921.0,Mesurée,mercredi,60.0
2021-06-16 22:00:00,391.0,Mesurée,mercredi,60.0
